,id,ICD10_CODE,Freq,VALIDITY_x,SHORT_DESCRIPTION_x,LONG_DESCRIPTION_x,FULL_DESCRIPTION_x,STATUS_x,CODE_TYPE_x
1203,1204,H54.0X33,1,C,BLINDNESS OD CATEG 3 BL OS CATEG 3,BLINDNESS OD CATEGORY 3 BLINDNESS OS CATEGORY 3,"Blindness right eye category 3, blindness left eye category 3",N,1
1204,1205,H54.10,4,C,BLINDNESS 1 EYE LW OTH EYE UNS EYES,BLINDNESS ONE EYE LOW VISION OTHER EYE UNS EYES,"Blindness, one eye, low vision other eye, unspecified eyes",,1
1205,1206,H54.2,19,I,LOW VISION BOTH EYES,LOW VISION BOTH EYES,"Low vision, both eyes",C,1
1206,1207,H54.3,22,C,UNQUALIFIED VISUAL LOSS BOTH EYES,UNQUALIFIED VISUAL LOSS BOTH EYES,"Unqualified visual loss, both eyes",,1
1207,1208,H54.40,11,C,BLINDNESS ONE EYE UNSPECIFIED EYE,BLINDNESS ONE EYE UNSPECIFIED EYE,"Blindness, one eye, unspecified eye",,1
1208,1209,H54.41,1,I,BLINDNESS RT EYE NOM VISION LT EYE,BLINDNESS RIGHT EYE NORMAL VISION LEFT EYE,"Blindness, right eye, normal vision left eye",C,1
1209,1210,H54.51,1,I,LOW VISION RT EYE NOM VISION LT EYE,LOW VISION RIGHT EYE NORMAL VISION LEFT EYE,"Low vision, right eye, normal vision left eye",C,1
1210,1211,H54.61,7,C,UNQUALIFIED VISUAL LOSS RT EYE NORM,UNQUALIFIED VISUAL LOSS RT EYE NORM VIS LT EYE,"Unqualified visual loss, right eye, normal vision left eye",,1
1211,1212,H54.62,7,C,UNQUALIFIED VISUAL LOSS LT EYE NORM,UNQUALIFIED VISUAL LOSS LT EYE NORM VIS RT EYE,"Unqualified visual loss, left eye, normal vision right eye",,1
1212,1213,H54.7,93,C,UNSPECIFIED VISUAL LOSS,UNSPECIFIED VISUAL LOSS,Unspecified visual loss,,1
1213,1214,H54.8,17,C,LEGAL BLINDNESS AS DEFINED IN USA,LEGAL BLINDNESS AS DEFINED IN USA,"Legal blindness, as defined in USA",,1
1214,1215,H55.00,2,C,UNSPECIFIED NYSTAGMUS,UNSPECIFIED NYSTAGMUS,Unspecified nystagmus,,1
1215,1216,H55.09,2,C,OTHER FORMS OF NYSTAGMUS,OTHER FORMS OF NYSTAGMUS,Other forms of nystagmus,,1
1216,1217,H57.02,4,C,ANISOCORIA,ANISOCORIA,Anisocoria,,1
1217,1218,H57.03,2,C,MIOSIS,MIOSIS,Miosis,,1
1218,1219,H57.10,10,C,OCULAR PAIN UNSPECIFIED EYE,OCULAR PAIN UNSPECIFIED EYE,"Ocular pain, unspecified eye",,1
1219,1220,H57.11,8,C,OCULAR PAIN RIGHT EYE,OCULAR PAIN RIGHT EYE,"Ocular pain, right eye",,1
1220,1221,H57.12,15,C,OCULAR PAIN LEFT EYE,OCULAR PAIN LEFT EYE,"Ocular pain, left eye",,1
1221,1222,H57.13,10,C,OCULAR PAIN BILATERAL,OCULAR PAIN BILATERAL,"Ocular pain, bilateral",,1
1222,1223,H57.8,24,C,OTHER SPEC DISORDERS EYE & ADNEXA,OTHER SPECIFIED DISORDERS OF EYE AND ADNEXA,Other specified disorders of eye and adnexa,,1
1223,1224,H57.89,7,,,,,,
1224,1225,H57.9,24,C,UNSPECIFIED DISORDER EYE & ADNEXA,UNSPECIFIED DISORDER OF EYE AND ADNEXA,Unspecified disorder of eye and adnexa,,1
1225,1226,H59.021,1,C,CAT FRAG EYE FOLLOW CAT SURG RT,CATARACT FRAG EYE FOLLOWING CATARACT SURG RT EYE,"Cataract (lens) fragments in eye following cataract surgery, right eye",,1
1226,1227,H59.031,1,C,CYSTOID ME FOLLOW CATARACT SURG RT,CYSTOID MACULAR EDEMA FLW CATARACT SURG RT EYE,"Cystoid macular edema following cataract surgery, right eye",,1
1227,1228,H60.12,3,C,CELLULITIS OF LEFT EXTERNAL EAR,CELLULITIS OF LEFT EXTERNAL EAR,Cellulitis of left external ear,,1
1228,1229,H60.311,5,C,DIFFUSE OTITIS EXTERNA RIGHT EAR,DIFFUSE OTITIS EXTERNA RIGHT EAR,"Diffuse otitis externa, right ear",,1
1229,1230,H60.312,2,C,DIFFUSE OTITIS EXTERNA LEFT EAR,DIFFUSE OTITIS EXTERNA LEFT EAR,"Diffuse otitis externa, left ear",,1
1230,1231,H60.313,1,C,DIFFUSE OTITIS EXTERNA BILATERAL,DIFFUSE OTITIS EXTERNA BILATERAL,"Diffuse otitis externa, bilateral",,1
1231,1232,H60.322,1,C,HEMORRHAGIC OTITIS EXTERNA LT EAR,HEMORRHAGIC OTITIS EXTERNA LEFT EAR,"Hemorrhagic otitis externa, left ear",,1
1232,1233,H60.391,1,C,OTH INFECTIVE OTITIS EXTERNA RT EAR,OTHER INFECTIVE OTITIS EXTERNA RIGHT EAR,"Other infective otitis externa, right ear",,1
1233,1234,H60.392,5,C,OTH INFECTIVE OTITIS EXTERNA LT EAR,OTHER INFECTIVE OTITIS EXTERNA LEFT EAR,"Other infective otitis externa, left ear",,1
1234,1235,H60.393,2,C,OTH INFECTIVE OTITIS EXTERNA BILAT,OTHER INFECTIVE OTITIS EXTERNA BILATERAL,"Other infective otitis externa, bilateral",,1
1235,1236,H60.42,1,C,CHOLESTEATOMA OF LEFT EXTERNAL EAR,CHOLESTEATOMA OF LEFT EXTERNAL EAR,Cholesteatoma of left external ear,,1
1236,1237,H60.501,4,C,UNS AC NONINFECT OTITIS EXTERNA RT,UNS ACUTE NONINFECTIVE OTITIS EXTERNA RIGHT EAR,"Unspecified acute noninfective otitis externa, right ear",,1
1237,1238,H60.502,13,C,UNS AC NONINFECT OTITIS EXTERNA LT,UNS ACUTE NONINFECTIVE OTITIS EXTERNA LEFT EAR,"Unspecified acute noninfective otitis externa, left ear",,1
1238,1239,H60.503,1,C,UNS AC NONINFECT OTITIS EXTERNA BIL,UNS ACUTE NONINFECTIVE OTITIS EXTERNA BILATERAL,"Unspecified acute noninfective otitis externa, bilateral",,1
1239,1240,H60.509,1,C,UNS AC NONINFECT OTITIS EXTERNA UNS,UNS ACUTE NONINFECTIVE OTITIS EXTERNA UNS EAR,"Unspecified acute noninfective otitis externa, unspecified ear",,1
1240,1241,H60.531,1,C,ACUTE CONTACT OTITIS EXTERNA RT EAR,ACUTE CONTACT OTITIS EXTERNA RIGHT EAR,"Acute contact otitis externa, right ear",,1
1241,1242,H60.541,1,C,AC ECZEMATOID OTITIS EXTERNA RT EAR,ACUTE ECZEMATOID OTITIS EXTERNA RIGHT EAR,"Acute eczematoid otitis externa, right ear",,1
1242,1243,H60.542,1,C,AC ECZEMATOID OTITIS EXTERNA LT EAR,ACUTE ECZEMATOID OTITIS EXTERNA LEFT EAR,"Acute eczematoid otitis externa, left ear",,1
1243,1244,H60.549,1,C,AC ECZEMATOID OTITIS EXTERNA UNS,ACUTE ECZEMATOID OTITIS EXTERNA UNSPECIFIED EAR,"Acute eczematoid otitis externa, unspecified ear",,1
1244,1245,H60.63,2,C,UNS CHRON OTITIS EXTERNA BILATERAL,UNSPECIFIED CHRONIC OTITIS EXTERNA BILATERAL,"Unspecified chronic otitis externa, bilateral",,1
1245,1246,H60.8X3,1,C,OTHER OTITIS EXTERNA BILATERAL,OTHER OTITIS EXTERNA BILATERAL,"Other otitis externa, bilateral",,1
1246,1247,H60.90,11,C,UNS OTITIS EXTERNA UNSPECIFIED EAR,UNSPECIFIED OTITIS EXTERNA UNSPECIFIED EAR,"Unspecified otitis externa, unspecified ear",,1
1247,1248,H60.91,10,C,UNS OTITIS EXTERNA RT EAR,UNSPECIFIED OTITIS EXTERNA RIGHT EAR,"Unspecified otitis externa, right ear",,1
1248,1249,H60.92,4,C,UNS OTITIS EXTERNA LEFT EAR,UNSPECIFIED OTITIS EXTERNA LEFT EAR,"Unspecified otitis externa, left ear",,1
1249,1250,H60.93,3,C,UNS OTITIS EXTERNA BILATERAL,UNSPECIFIED OTITIS EXTERNA BILATERAL,"Unspecified otitis externa, bilateral",,1
1250,1251,H61.003,1,C,UNS PERICHONDRITIS EXT EAR BIL,UNSPECIFIED PERICHONDRITIS EXTERNAL EAR BILAT,"Unspecified perichondritis of external ear, bilateral",,1
1251,1252,H61.20,111,C,IMPACTED CERUMEN UNSPECIFIED EAR,IMPACTED CERUMEN UNSPECIFIED EAR,"Impacted cerumen, unspecified ear",,1
1252,1253,H61.21,196,C,IMPACTED CERUMEN RIGHT EAR,IMPACTED CERUMEN RIGHT EAR,"Impacted cerumen, right ear",,1
1253,1254,H61.22,145,C,IMPACTED CERUMEN LEFT EAR,IMPACTED CERUMEN LEFT EAR,"Impacted cerumen, left ear",,1
1254,1255,H61.23,285,C,IMPACTED CERUMEN BILATERAL,IMPACTED CERUMEN BILATERAL,"Impacted cerumen, bilateral",,1
1255,1256,H61.891,1,C,OTHER SPEC DISORDERS RT EXT EAR,OTHER SPECIFIED DISORDERS OF RIGHT EXTERNAL EAR,Other specified disorders of right external ear,,1
1256,1257,H61.893,2,C,OTH SPEC D/O EXT EAR BILATERAL,OTHER SPECIFIED DISORDERS EXTERNAL EAR BILATERAL,"Other specified disorders of external ear, bilateral",,1
1257,1258,H61.899,2,C,OTH SPEC DISORDERS EXT EAR UNS EAR,OTHER SPECIFIED DISORDERS EXTERNAL EAR UNS EAR,"Other specified disorders of external ear, unspecified ear",,1
1258,1259,H61.90,4,C,DISORDER EXTERNAL EAR UNS UNS EAR,DISORDER OF EXTERNAL EAR UNSPECIFIED UNS EAR,"Disorder of external ear, unspecified, unspecified ear",,1
1259,1260,H61.91,3,C,DISORDER RT EXTERNAL EAR UNS,DISORDER OF RIGHT EXTERNAL EAR UNSPECIFIED,"Disorder of right external ear, unspecified",,1
1260,1261,H61.92,3,C,DISORDER LT EXTERNAL EAR UNS,DISORDER OF LEFT EXTERNAL EAR UNSPECIFIED,"Disorder of left external ear, unspecified",,1
1261,1262,H62.43,1,C,OTITIS EXTERN OTH DZ CLASS ELSW BIL,OTITIS EXTERNA IN OTH DZ CLASS ELSEWHERE BILAT,"Otitis externa in other diseases classified elsewhere, bilateral",,1
1262,1263,H65.01,2,C,ACUTE SEROUS OTITIS MEDIA RIGHT EAR,ACUTE SEROUS OTITIS MEDIA RIGHT EAR,"Acute serous otitis media, right ear",,1
1263,1264,H65.02,2,C,"ACUTE SEROUS OTITIS MEDIA, LEFT EAR",ACUTE SEROUS OTITIS MEDIA LEFT EAR,"Acute serous otitis media, left ear",,1
1264,1265,H65.03,3,C,ACUTE SEROUS OTITIS MEDIA BILATERAL,ACUTE SEROUS OTITIS MEDIA BILATERAL,"Acute serous otitis media, bilateral",,1
1265,1266,H65.191,5,C,OTH AC NONSUPPURATIVE OM RT EAR,OTHER ACUTE NONSUPPURATIVE OTITIS MEDIA RT EAR,"Other acute nonsuppurative otitis media, right ear",,1
1266,1267,H65.192,2,C,OTH AC NONSUPPURATIVE OM LT EAR,OTHER ACUTE NONSUPPURATIVE OTITIS MEDIA LT EAR,"Other acute nonsuppurative otitis media, left ear",,1
1267,1268,H65.193,1,C,OTH AC NONSUPPURATIVE OM BIL,OTHER ACUTE NONSUPPURATIVE OTITIS MEDIA BILAT,"Other acute nonsuppurative otitis media, bilateral",,1
1268,1269,H65.199,2,C,OTH AC NONSUPPURATIVE OM UNS EAR,OTHER ACUTE NONSUPPURATIVE OTITIS MEDIA UNS EAR,"Other acute nonsuppurative otitis media, unspecified ear",,1
1269,1270,H65.20,20,C,CHRON SEROUS OTITIS MEDIA UNS EAR,CHRONIC SEROUS OTITIS MEDIA UNSPECIFIED EAR,"Chronic serous otitis media, unspecified ear",,1
1270,1271,H65.21,2,C,CHRON SEROUS OTITIS MEDIA RT EAR,CHRONIC SEROUS OTITIS MEDIA RIGHT EAR,"Chronic serous otitis media, right ear",,1
1271,1272,H65.31,1,C,CHRONIC MUCOID OTITIS MEDIA RT EAR,CHRONIC MUCOID OTITIS MEDIA RIGHT EAR,"Chronic mucoid otitis media, right ear",,1
1272,1273,H65.33,1,C,CHRON MUCOID OTITIS MEDIA BILATERAL,CHRONIC MUCOID OTITIS MEDIA BILATERAL,"Chronic mucoid otitis media, bilateral",,1
1273,1274,H65.491,2,C,OTH CHRON NONSUPPURATIVE OM RT EAR,OTHER CHRONIC NONSUPPURATIVE OTITIS MEDIA RT EAR,"Other chronic nonsuppurative otitis media, right ear",,1
1274,1275,H65.90,9,C,UNS NONSUPPURATIVE OM UNS EAR,UNSPECIFIED NONSUPPURATIVE OTITIS MEDIA UNS EAR,"Unspecified nonsuppurative otitis media, unspecified ear",,1
1275,1276,H65.91,6,C,UNS NONSUPPURATIVE OM RT EAR,UNSPECIFIED NONSUPPURATIVE OTITIS MEDIA RT EAR,"Unspecified nonsuppurative otitis media, right ear",,1
1276,1277,H65.92,2,C,UNS NONSUPPURATIVE OM LT EAR,UNSPECIFIED NONSUPPURATIVE OTITIS MEDIA LT EAR,"Unspecified nonsuppurative otitis media, left ear",,1
1277,1278,H65.93,4,C,UNS NONSUPPURATIVE OTITIS MEDIA BIL,UNSPECIFIED NONSUPPRATIVE OTITIS MEDIA BILATERAL,"Unspecified nonsuppurative otitis media, bilateral",,1
1278,1279,H66.001,1,C,AC SUPPRTV OM W/O RUPT EAR DRUM RT,ACUTE SUPPURATIVE OM W/O RUPT EAR DRUM RT EAR,"Acute suppurative otitis media without spontaneous rupture of ear drum, right ear",,1
1279,1280,H66.002,4,C,AC SUPPRTV OM W/O RUPT EAR DRUM LT,ACUTE SUPPURATIVE OM W/O RUPT EAR DRUM LT EAR,"Acute suppurative otitis media without spontaneous rupture of ear drum, left ear",,1
1280,1281,H66.003,1,C,AC SUPPRTV OM W/O RUPT EAR DRUM BIL,ACUTE SUPPURATIVE OM W/O RUPT EAR DRUM BILAT,"Acute suppurative otitis media without spontaneous rupture of ear drum, bilateral",,1
1281,1282,H66.005,1,C,AC SUPP OM W/O RUP EAR DRM RECUR LT,AC SUPPURATIVE OM W/O RUPT EAR DRUM RECUR LT EAR,"Acute suppurative otitis media without spontaneous rupture of ear drum, recurrent, left ear",,1
1282,1283,H66.006,1,C,AC SUPP OM W/O RUP EAR DRM RECUR BI,AC SUPPURATIVE OM W/O RUPT EAR DRUM RECUR  BILAT,"Acute suppurative otitis media without spontaneous rupture of ear drum, recurrent, bilateral",,1
1283,1284,H66.009,2,C,AC SUPP OM W/0 RUPT EAR DRM UNS EAR,ACUTE SUPPURATIVE OM W/O RUPT EAR DRUM UNS EAR,"Acute suppurative otitis media without spontaneous rupture of ear drum, unspecified ear",,1
1284,1285,H66.013,1,C,AC SUPP OM W RUPT EAR DRUM BIL,ACUTE SUPPURATIVE OM W/RUPTURE EAR DRUM BILAT,"Acute suppurative otitis media with spontaneous rupture of ear drum, bilateral",,1
1285,1286,H66.41,1,C,SUPPURATIV OTITIS MEDIA UNS RT EAR,SUPPURATIVE OTITIS MEDIA UNSPECIFIED RIGHT EAR,"Suppurative otitis media, unspecified, right ear",,1
1286,1287,H66.90,52,C,OTITIS MEDIA UNSPECIFIED UNS EAR,OTITIS MEDIA UNSPECIFIED UNSPECIFIED EAR,"Otitis media, unspecified, unspecified ear",,1
1287,1288,H66.91,17,C,OTITIS MEDIA UNSPECIFIED RIGHT EAR,OTITIS MEDIA UNSPECIFIED RIGHT EAR,"Otitis media, unspecified, right ear",,1
1288,1289,H66.92,13,C,OTITIS MEDIA UNSPECIFIED LEFT EAR,OTITIS MEDIA UNSPECIFIED LEFT EAR,"Otitis media, unspecified, left ear",,1
1289,1290,H66.93,4,C,OTITIS MEDIA UNSPECIFIED BILATERAL,OTITIS MEDIA UNSPECIFIED BILATERAL,"Otitis media, unspecified, bilateral",,1
1290,1291,H67.3,1,C,OTITIS MEDIA DZ CLASS ELSW BIL,OTITIS MEDIA IN DISEASES CLASS ELSEWHERE BILAT,"Otitis media in diseases classified elsewhere, bilateral",,1
1291,1292,H68.103,2,C,UNS OBSTRUCTION EUSTACHIAN TUBE BIL,UNSPECIFIED OBSTRUCTION EUSTACHIAN TUBE BILAT,"Unspecified obstruction of Eustachian tube, bilateral",,1
1292,1293,H69.80,6,C,OTH SPEC D/O EUST TUBE UNS EAR,OTHER SPEC DISORDERS EUSTACHIAN TUBE UNS EAR,"Other specified disorders of Eustachian tube, unspecified ear",,1
1293,1294,H69.81,4,C,OTH SPEC D/O EUST TUBE RT EAR,OTHER SPEC DISORDERS EUSTACHIAN TUBE RT EAR,"Other specified disorders of Eustachian tube, right ear",,1
1294,1295,H69.82,3,C,OTH SPEC D/O EUST TUBE LT EAR,OTHER SPEC DISORDERS EUSTACHIAN TUBE LT EAR,"Other specified disorders of Eustachian tube, left ear",,1
1295,1296,H69.83,7,C,OTH SPEC D/O EUST TUBE BILATERAL,OTHER SPEC DISORDERS EUSTACHIAN TUBE BILAT,"Other specified disorders of Eustachian tube, bilateral",,1
1296,1297,H69.93,2,C,UNS EUSTACHIAN TUBE DISORDER BIL,UNSPECIFIED EUSTACHIAN TUBE DISORDER BILATERAL,"Unspecified Eustachian tube disorder, bilateral",,1
1297,1298,H70.002,1,C,ACUTE MASTOIDITIS W/O COMP LT EAR,ACUTE MASTOIDITIS W/O COMPLICATIONS LEFT EAR,"Acute mastoiditis without complications, left ear",,1
1298,1299,H70.92,1,C,UNSPECIFIED MASTOIDITIS LEFT EAR,UNSPECIFIED MASTOIDITIS LEFT EAR,"Unspecified mastoiditis, left ear",,1
1299,1300,H71.02,1,C,CHOLESTEATOMA OF ATTIC LEFT EAR,CHOLESTEATOMA OF ATTIC LEFT EAR,"Cholesteatoma of attic, left ear",,1
1300,1301,H72.90,6,C,UNS PERF TYMPANIC MEMBRANE UNS EAR,UNS PERFORATION OF TYMPANIC MEMBRANE UNS EAR,"Unspecified perforation of tympanic membrane, unspecified ear",,1
1301,1302,H72.91,2,C,UNS PERF TYMPANIC MEMBRANE RT EAR,UNS PERFORATION OF TYMPANIC MEMBRANE RIGHT EAR,"Unspecified perforation of tympanic membrane, right ear",,1
1302,1303,H72.92,10,C,UNS PERF TYMPANIC MEMBRANE LT EAR,UNS PERFORATION OF TYMPANIC MEMBRANE LT EAR,"Unspecified perforation of tympanic membrane, left ear",,1
1303,1304,H72.93,2,C,UNS PERF TYMPANIC MEMBRANE BILAT,UNS PERFORATION OF TYMPANIC MEMBRANE BILATERAL,"Unspecified perforation of tympanic membrane, bilateral",,1
1304,1305,H73.90,9,C,UNS DISORDER TYMP MEMBRANE UNS EAR,UNS DISORDER OF TYMPANIC MEMBRANE UNS EAR,"Unspecified disorder of tympanic membrane, unspecified ear",,1
1305,1306,H73.91,7,C,UNS DISORDER TYMP MEMBRANE RT EAR,UNS DISORDER OF TYMPANIC MEMBRANE RIGHT EAR,"Unspecified disorder of tympanic membrane, right ear",,1
1306,1307,H73.92,10,C,UNS DISORDER TYMP MEMBRANE LT EAR,UNSPECIFIED DISORDER OF TYMPANIC MEMBRANE LT EAR,"Unspecified disorder of tympanic membrane, left ear",,1
1307,1308,H73.93,2,C,UNS DISORDER TYMP MEMBRANE BIL,UNS DISORDER OF TYMPANIC MEMBRANE BILATERAL,"Unspecified disorder of tympanic membrane, bilateral",,1
1308,1309,H74.8X2,1,C,OTH SPEC D/O LT MIDDLE EAR MASTOID,OTHER SPEC DISORDERS OF LT MIDDLE EAR & MASTOID,Other specified disorders of left middle ear and mastoid,,1
1309,1310,H81.01,1,C,MENIERES DISEASE RIGHT EAR,MENIERES DISEASE RIGHT EAR,"Meniere's disease, right ear",,1
1310,1311,H81.03,4,C,MENIERES DISEASE BILATERAL,MENIERES DISEASE BILATERAL,"Meniere's disease, bilateral",,1
1311,1312,H81.09,3,C,MENIERES DISEASE UNSPECIFIED EAR,MENIERES DISEASE UNSPECIFIED EAR,"Meniere's disease, unspecified ear",,1
1312,1313,H81.10,76,C,BENIGN PAROXYSMAL VERTIGO UNS EAR,BENIGN PAROXYSMAL VERTIGO UNSPECIFIED EAR,"Benign paroxysmal vertigo, unspecified ear",,1
1313,1314,H81.11,5,C,BENIGN PAROXYSMAL VERTIGO RIGHT EAR,BENIGN PAROXYSMAL VERTIGO RIGHT EAR,"Benign paroxysmal vertigo, right ear",,1
1314,1315,H81.12,3,C,BENIGN PAROXYSMAL VERTIGO LEFT EAR,BENIGN PAROXYSMAL VERTIGO LEFT EAR,"Benign paroxysmal vertigo, left ear",,1
1315,1316,H81.13,36,C,BENIGN PAROXYSMAL VERTIGO BILATERAL,BENIGN PAROXYSMAL VERTIGO BILATERAL,"Benign paroxysmal vertigo, bilateral",,1
1316,1317,H81.22,1,C,VESTIBULAR NEURONITIS LEFT EAR,VESTIBULAR NEURONITIS LEFT EAR,"Vestibular neuronitis, left ear",,1
1317,1318,H81.399,1,C,OTHER PERIPHERAL VERTIGO UNS EAR,OTHER PERIPHERAL VERTIGO UNSPECIFIED EAR,"Other peripheral vertigo, unspecified ear",,1
1318,1319,H81.43,1,C,VERTIGO OF CENTRAL ORIGIN BILATERAL,VERTIGO OF CENTRAL ORIGIN BILATERAL,"Vertigo of central origin, bilateral",,1
1319,1320,H81.90,1,C,UNS D/O VESTIBULAR FUNCTION UNS EAR,UNS DISORDER VESTIBULAR FUNCTION UNSPECIFIED EAR,"Unspecified disorder of vestibular function, unspecified ear",,1
1320,1321,H81.93,1,C,UNS D/O VESTIBULAR FUNCTION BIL,UNS DISORDER VESTIBULAR FUNCTION BILATERAL,"Unspecified disorder of vestibular function, bilateral",,1
1321,1322,H83.01,1,C,LABYRINTHITIS RIGHT EAR,LABYRINTHITIS RIGHT EAR,"Labyrinthitis, right ear",,1
1322,1323,H83.09,1,C,LABYRINTHITIS UNSPECIFIED EAR,LABYRINTHITIS UNSPECIFIED EAR,"Labyrinthitis, unspecified ear",,1
1323,1324,H83.2X3,3,C,LABYRINTHINE DYSFUNCTION BILATERAL,LABYRINTHINE DYSFUNCTION BILATERAL,"Labyrinthine dysfunction, bilateral",,1
1324,1325,H83.3X2,1,C,NOISE EFFECTS ON LEFT INNER EAR,NOISE EFFECTS ON LEFT INNER EAR,Noise effects on left inner ear,,1
1325,1326,H90.0,7,C,CONDUCTIVE HEARING LOSS BILATERAL,CONDUCTIVE HEARING LOSS BILATERAL,"Conductive hearing loss, bilateral",,1
1326,1327,H90.11,2,C,CONDUCT HL UNI RT UNRESTR CONTRALAT,CONDUCT HL UNI RT EAR UNRESTRICT CONTRALAT SIDE,"Conductive hearing loss, unilateral, right ear, with unrestricted hearing on the contralateral side",,1
1327,1328,H90.2,3,C,CONDUCTIVE HEARING LOSS UNSPECIFIED,CONDUCTIVE HEARING LOSS UNSPECIFIED,"Conductive hearing loss, unspecified",,1
1328,1329,H90.3,30,C,SENSORINEURAL HEAR LOSS BILATERAL,SENSORINEURAL HEARING LOSS BILATERAL,"Sensorineural hearing loss, bilateral",,1
1329,1330,H90.41,2,C,SHL UNI RT UNRESTRCT HEAR CONTRALAT,SENSORINURL HL UNI RT EAR UNRESTRCT CNTRLAT SIDE,"Sensorineural hearing loss, unilateral, right ear, with unrestricted hearing on the contralateral side",,1
1330,1331,H90.42,2,C,SHL UNI LT UNRESTRCT HEAR CONTRALAT,SENSORINURL HL UNI LT EAR UNRESTRCT CNTRLAT SIDE,"Sensorineural hearing loss, unilateral, left ear, with unrestricted hearing on the contralateral side",,1
1331,1332,H90.5,10,C,UNS SENSORINEURAL HEARING LOSS,UNSPECIFIED SENSORINEURAL HEARING LOSS,Unspecified sensorineural hearing loss,,1
1332,1333,H90.6,21,C,MIX CONDCT SENSORINEURAL HL BIL,MIX CONDUCT SENSORINEURAL HEAR LOSS BILATERAL,"Mixed conductive and sensorineural hearing loss, bilateral",,1
1333,1334,H90.A11,1,C,COND HEAR LOS UN R EAR RST CNTRALAT,CONDUCT HEAR LOSS UNI RT EAR RSTRC HEAR CNTRALAT,"Conductive hearing loss, unilateral, right ear with restricted hearing on the contralateral side",,1
1334,1335,H90.A21,1,C,SENRNER HEAR LOS U R EAR RS CNTRALA,SENSORNEURL HEAR LOS UNI RT EAR RSTRC CNTRALATRL,"Sensorineural hearing loss, unilateral, right ear, with restricted hearing on the contralateral side",,1
1335,1336,H91.10,11,C,PRESBYCUSIS UNSPECIFIED EAR,PRESBYCUSIS UNSPECIFIED EAR,"Presbycusis, unspecified ear",,1
1336,1337,H91.11,1,C,PRESBYCUSIS RIGHT EAR,PRESBYCUSIS RIGHT EAR,"Presbycusis, right ear",,1
1337,1338,H91.13,21,C,PRESBYCUSIS BILATERAL,PRESBYCUSIS BILATERAL,"Presbycusis, bilateral",,1
1338,1339,H91.23,1,C,SUDDEN IDIOPATH HEAR LOSS BILATERAL,SUDDEN IDIOPATHIC HEARING LOSS BILATERAL,"Sudden idiopathic hearing loss, bilateral",,1
1339,1340,H91.3,3,C,DEAF NONSPEAKING NEC,DEAF NONSPEAKING NOT ELSEWHERE CLASSIFIED,"Deaf nonspeaking, not elsewhere classified",,1
1340,1341,H91.8X1,1,C,OTHER SPECIFIED HEARING LOSS RT EAR,OTHER SPECIFIED HEARING LOSS RIGHT EAR,"Other specified hearing loss, right ear",,1
1341,1342,H91.8X3,5,C,OTHER SPEC HEARING LOSS BILATERAL,OTHER SPECIFIED HEARING LOSS BILATERAL,"Other specified hearing loss, bilateral",,1
1342,1343,H91.90,327,C,UNS HEARING LOSS UNSPECIFIED EAR,UNSPECIFIED HEARING LOSS UNSPECIFIED EAR,"Unspecified hearing loss, unspecified ear",,1
1343,1344,H91.91,35,C,UNSPECIFIED HEARING LOSS RIGHT EAR,UNSPECIFIED HEARING LOSS RIGHT EAR,"Unspecified hearing loss, right ear",,1
1344,1345,H91.92,45,C,UNSPECIFIED HEARING LOSS LEFT EAR,UNSPECIFIED HEARING LOSS LEFT EAR,"Unspecified hearing loss, left ear",,1
1345,1346,H91.93,405,C,UNSPECIFIED HEARING LOSS BILATERAL,UNSPECIFIED HEARING LOSS BILATERAL,"Unspecified hearing loss, bilateral",,1
1346,1347,H92.01,49,C,OTALGIA RIGHT EAR,OTALGIA RIGHT EAR,"Otalgia, right ear",,1
1347,1348,H92.02,34,C,OTALGIA LEFT EAR,OTALGIA LEFT EAR,"Otalgia, left ear",,1
1348,1349,H92.03,16,C,OTALGIA BILATERAL,OTALGIA BILATERAL,"Otalgia, bilateral",,1
1349,1350,H92.09,17,C,OTALGIA UNSPECIFIED EAR,OTALGIA UNSPECIFIED EAR,"Otalgia, unspecified ear",,1
1350,1351,H92.10,1,C,OTORRHEA UNSPECIFIED EAR,OTORRHEA UNSPECIFIED EAR,"Otorrhea, unspecified ear",,1
1351,1352,H92.11,3,C,OTORRHEA RIGHT EAR,OTORRHEA RIGHT EAR,"Otorrhea, right ear",,1
1352,1353,H92.12,1,C,OTORRHEA LEFT EAR,OTORRHEA LEFT EAR,"Otorrhea, left ear",,1
1353,1354,H92.13,1,C,OTORRHEA BILATERAL,OTORRHEA BILATERAL,"Otorrhea, bilateral",,1
1354,1355,H92.20,1,C,OTORRHAGIA UNSPECIFIED EAR,OTORRHAGIA UNSPECIFIED EAR,"Otorrhagia, unspecified ear",,1
1355,1356,H92.21,7,C,OTORRHAGIA RIGHT EAR,OTORRHAGIA RIGHT EAR,"Otorrhagia, right ear",,1
1356,1357,H92.22,1,C,OTORRHAGIA LEFT EAR,OTORRHAGIA LEFT EAR,"Otorrhagia, left ear",,1
1357,1358,H92.23,3,C,OTORRHAGIA BILATERAL,OTORRHAGIA BILATERAL,"Otorrhagia, bilateral",,1
1358,1359,H93.11,17,C,TINNITUS RIGHT EAR,TINNITUS RIGHT EAR,"Tinnitus, right ear",,1
1359,1360,H93.12,20,C,TINNITUS LEFT EAR,TINNITUS LEFT EAR,"Tinnitus, left ear",,1
